dataset,test_index,source_filename,preview_jpg,sr_style_lr_up_geotiff,sr_style_hr_geotiff,decode_styles,sampling_seed,sampling_mode,uncertainty_guidance,generation_pipeline,crop_mode,lr_crop_size,hr_crop_size
SEN2NAIP,4,ROI_0122.tif,sen2naip/test_img_004_uncertainty_guided_preview.jpg,sen2naip/test_img_004_uncertainty_guided_sr_style-lr_up.tif,sen2naip/test_img_004_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,96,384
SEN2NAIP,5,ROI_0130.tif,sen2naip/test_img_005_uncertainty_guided_preview.jpg,sen2naip/test_img_005_uncertainty_guided_sr_style-lr_up.tif,sen2naip/test_img_005_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,96,384
SEN2NAIP,6,ROI_0177.tif,sen2naip/test_img_006_uncertainty_guided_preview.jpg,sen2naip/test_img_006_uncertainty_guided_sr_style-lr_up.tif,sen2naip/test_img_006_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,96,384
SEN2NAIP,7,ROI_0187.tif,sen2naip/test_img_007_uncertainty_guided_preview.jpg,sen2naip/test_img_007_uncertainty_guided_sr_style-lr_up.tif,sen2naip/test_img_007_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,96,384
FY3FS2,0,FY3F_MERSI_GRAN_L1_20240216_1815_0250M_V0__lon_neg110_080000_lat_46_880000.tif,fy3fs2/test_img_000_uncertainty_guided_preview.jpg,fy3fs2/test_img_000_uncertainty_guided_sr_style-lr_up.tif,fy3fs2/test_img_000_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,24,384
FY3FS2,1,FY3F_MERSI_GRAN_L1_20240318_1650_0250M_V0__lon_neg92_160000_lat_32_000000.tif,fy3fs2/test_img_001_uncertainty_guided_preview.jpg,fy3fs2/test_img_001_uncertainty_guided_sr_style-lr_up.tif,fy3fs2/test_img_001_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,24,384
FY3FS2,2,FY3F_MERSI_GRAN_L1_20240318_1650_0250M_V0__lon_neg94_400000_lat_32_480000.tif,fy3fs2/test_img_002_uncertainty_guided_preview.jpg,fy3fs2/test_img_002_uncertainty_guided_sr_style-lr_up.tif,fy3fs2/test_img_002_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,24,384
FY3FS2,3,FY3F_MERSI_GRAN_L1_20240322_0350_0250M_V0__lon_95_200000_lat_16_000000.tif,fy3fs2/test_img_003_uncertainty_guided_preview.jpg,fy3fs2/test_img_003_uncertainty_guided_sr_style-lr_up.tif,fy3fs2/test_img_003_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,24,384
FY3FS2,4,FY3F_MERSI_GRAN_L1_20240322_0350_0250M_V0__lon_95_520000_lat_16_000000.tif,fy3fs2/test_img_004_uncertainty_guided_preview.jpg,fy3fs2/test_img_004_uncertainty_guided_sr_style-lr_up.tif,fy3fs2/test_img_004_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,24,384
FY3FS2,5,FY3F_MERSI_GRAN_L1_20240327_1720_0250M_V0__lon_neg100_000000_lat_40_320000.tif,fy3fs2/test_img_005_uncertainty_guided_preview.jpg,fy3fs2/test_img_005_uncertainty_guided_sr_style-lr_up.tif,fy3fs2/test_img_005_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,24,384
FY3FS2,6,FY3F_MERSI_GRAN_L1_20240327_1720_0250M_V0__lon_neg100_640000_lat_29_280000.tif,fy3fs2/test_img_006_uncertainty_guided_preview.jpg,fy3fs2/test_img_006_uncertainty_guided_sr_style-lr_up.tif,fy3fs2/test_img_006_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,24,384
FY3FS2,7,FY3F_MERSI_GRAN_L1_20240327_1720_0250M_V0__lon_neg100_960000_lat_29_120000.tif,fy3fs2/test_img_007_uncertainty_guided_preview.jpg,fy3fs2/test_img_007_uncertainty_guided_sr_style-lr_up.tif,fy3fs2/test_img_007_uncertainty_guided_sr_style-hr.tif,style-lr_up|style-hr,999,uncertainty_guided_ddpm,True,SpatialEvaluate_first_test_batch_uncertainty_guided,center,24,384
